Origin,imageId,mikeS,mikeR,kelly,mike,paul,kim,phil,jim
ohsu-0118-10-OD-posterior.bmp,146,1,1,1,1,1,1,1,2
ohsu-0006-sr-2nd session-OS-posterior.bmp,175,1,1,1,1,1,1,1,1
ohsu-0053-js-2nd-OS-posterior.bmp,155,1,1,1,1,1,1,1,2
miam--0027-2-od.BMP,164,1,1,1,1,1,1,1,2
ohsu-0109-1-OD-posterior.bmp,169,1,1,1,1,1,1,1,2
ohsu-0065-1-OD-posterior.bmp,213,1,1,1,1,1,1,1,1
ohsu-0079-3-OS-posterior.bmp,144,1,1,1,1,1,1,2,1
ohsu-0060-3-OS-posterior.bmp,131,1,1,1,1,1,1,1,1
ohsu-0017-nh-2nd-OD-posterior2.bmp,124,1,1,1,1,1,1,1,1
ohsu-0087-4-OS-posterior.bmp,170,1,1,1,1,1,2,2,2
ohsu-0008-jf-3rd session-OS-posterior2.bmp,136,1,1,1,1,1,1,1,1
ohsu-0063-3-OS-posterior.bmp,205,1,1,1,1,1,1,1,1
ohsu-0040-tm-1st-OS-posterior.bmp,190,1,1,1,1,1,1,1,1
ohsu-0117-1-OD-posterior.bmp,183,1,1,1,1,1,1,1,1
ohsu-0096-1-OS-posterior.bmp,138,1,1,1,1,1,1,1,1
ohsu-0031-cc-3rd-OS-posterior.bmp,194,1,1,1,1,1,1,1,1
ohsu-0082-2-OS-posterior.bmp,208,1,1,1,1,1,1,1,1
ohsu-0032-jv-3rd-OD-posterior.bmp,133,1,1,1,1,1,1,1,1
