"","taskId","img0Id","img1ID","img0Name","img1Name","user","winner"
"91",90,242,242,"29_miam-0018-5-od.BMP","29_miam-0018-5-od.BMP","jason",1
"92",91,227,243,"89_ohsu-0029-ps-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"93",92,229,237,"41_beau-0061-4-OS-posterior.bmp","9_miam-0014-3-os.BMP","jason",-1
"94",93,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",1
"95",94,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"96",95,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"97",96,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"98",97,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"99",98,234,243,"93_ohsu-0072-2-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"100",99,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"101",100,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"102",101,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"103",102,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"104",103,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"105",104,241,228,"61_miam--0027-2-od.BMP","65_ohsu-0060-3-OS-posterior.bmp","jason",-1
"106",105,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"107",106,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"108",107,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"109",108,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"110",109,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"111",110,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",-1
"112",111,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"113",112,238,235,"73_ohsu-0031-cc-3rd-OS-posterior.bmp","37_miam-0018-4-os.BMP","jason",-1
"114",113,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"115",114,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"116",115,234,243,"93_ohsu-0072-2-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
