taskId,img0Id,img1ID,img0Name,img1Name,jason,karyn,kim,nina,tom
73,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,1,1,1
74,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,-1,1,1
75,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
76,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
77,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
78,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,1,1,1
79,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
80,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,1,1,1,1
81,240,241,5_ohsu-0054-5-os.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
82,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
83,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
84,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,1,-1,1
85,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
86,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,1,1
87,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
88,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
89,245,237,45_ohsu-0001-6-os-posterior2.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
90,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,1,1,1,1,1
91,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
92,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,-1,-1,-1,-1
93,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,1,1,1,1,1
94,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
95,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
96,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
97,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
98,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
99,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
100,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
101,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
102,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
103,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
104,241,228,61_miam--0027-2-od.BMP,65_ohsu-0060-3-OS-posterior.bmp,-1,-1,-1,-1,-1
105,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,1,-1,1,1
106,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
107,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,-1,-1
108,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
109,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
110,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,-1,-1,-1,1,-1
111,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,-1,1
112,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
113,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,-1,-1,1
114,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,1,1
115,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,1
116,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
117,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
118,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,-1,1,1,1,1
