task_id,image0,image1,winner,user,date,icl
1086,124,179,1,karyn,Wed Apr 29 2015 18:49:22 GMT-0400 (EDT),ICL_third_set_hundred_r2
1087,176,202,1,karyn,Wed Apr 29 2015 18:49:25 GMT-0400 (EDT),ICL_third_set_hundred_r2
1088,122,152,1,karyn,Wed Apr 29 2015 18:49:28 GMT-0400 (EDT),ICL_third_set_hundred_r2
1089,163,131,1,karyn,Wed Apr 29 2015 18:49:30 GMT-0400 (EDT),ICL_third_set_hundred_r2
109,207,185,1,karyn,Wed Apr 29 2015 10:14:39 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1090,177,169,1,karyn,Wed Apr 29 2015 18:49:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1091,183,218,-1,karyn,Wed Apr 29 2015 18:49:48 GMT-0400 (EDT),ICL_third_set_hundred_r2
1092,140,185,1,karyn,Wed Apr 29 2015 18:50:51 GMT-0400 (EDT),ICL_third_set_hundred_r2
1093,180,183,1,karyn,Wed Apr 29 2015 18:50:55 GMT-0400 (EDT),ICL_third_set_hundred_r2
1094,167,219,1,karyn,Wed Apr 29 2015 18:51:00 GMT-0400 (EDT),ICL_third_set_hundred_r2
1095,121,150,-1,karyn,Wed Apr 29 2015 18:51:07 GMT-0400 (EDT),ICL_third_set_hundred_r2
1096,121,199,-1,karyn,Wed Apr 29 2015 18:51:10 GMT-0400 (EDT),ICL_third_set_hundred_r2
1097,168,211,-1,karyn,Wed Apr 29 2015 18:51:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1098,176,148,-1,karyn,Wed Apr 29 2015 18:51:14 GMT-0400 (EDT),ICL_third_set_hundred_r2
1099,150,214,-1,karyn,Wed Apr 29 2015 18:51:16 GMT-0400 (EDT),ICL_third_set_hundred_r2
11,183,204,1,karyn,Wed Apr 29 2015 09:32:36 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
110,190,209,1,karyn,Wed Apr 29 2015 10:14:42 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1100,147,139,1,karyn,Wed Apr 29 2015 18:51:18 GMT-0400 (EDT),ICL_third_set_hundred_r2
