taskId,img0Id,img1Id,img0Name,img1Name,jason,jim,karyn,kelly,maria,mike,mikeR,mikeS,nina,paul,pete,susan,testuser4
20,246,259,21.jpg,4.jpg,1,-1,1,1,1,1,-1,1,1,1,1,1,-1
21,263,269,34.jpg,30.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
22,246,249,21.jpg,27.jpg,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1
23,273,278,6.jpg,24.jpg,1,1,1,1,1,1,1,1,-1,-1,-1,1,1
24,279,265,17.jpg,5.jpg,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1
25,256,276,32.jpg,23.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
26,260,273,26.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,259,276,4.jpg,23.jpg,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
28,257,273,19.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,249,269,27.jpg,30.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
30,254,255,11.jpg,1.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
31,271,272,14.jpg,2.jpg,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1
32,261,272,3.jpg,2.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
33,261,277,3.jpg,7.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
34,274,276,29.jpg,23.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
35,274,275,29.jpg,28.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
36,247,273,9.jpg,6.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,247,257,9.jpg,19.jpg,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
38,257,269,19.jpg,30.jpg,1,1,1,1,1,1,-1,-1,1,-1,1,1,1
39,275,279,28.jpg,17.jpg,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
40,251,278,31.jpg,24.jpg,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1
41,249,256,27.jpg,32.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
42,260,274,26.jpg,29.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,252,271,16.jpg,14.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
44,277,256,7.jpg,32.jpg,1,1,1,1,1,1,1,1,1,1,1,1,-1
45,273,275,6.jpg,28.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
46,258,266,35.jpg,25.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
47,261,266,3.jpg,25.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
48,267,250,13.jpg,8.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,263,272,34.jpg,2.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,1
50,262,265,18.jpg,5.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
51,258,253,35.jpg,10.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
52,278,271,24.jpg,14.jpg,1,-1,1,1,1,1,1,1,1,1,1,1,1
53,251,265,31.jpg,5.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
54,271,279,14.jpg,17.jpg,1,1,1,1,-1,1,1,1,1,-1,1,1,1
55,248,262,15.jpg,18.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
56,267,278,13.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,278,255,24.jpg,1.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
58,263,274,34.jpg,29.jpg,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1
59,249,258,27.jpg,35.jpg,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1
60,258,268,35.jpg,22.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,1
61,248,266,15.jpg,25.jpg,1,-1,1,1,-1,1,1,1,1,1,1,1,-1
62,268,265,22.jpg,5.jpg,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
63,260,278,26.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,251,252,31.jpg,16.jpg,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
65,250,268,8.jpg,22.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
66,276,247,23.jpg,9.jpg,1,1,-1,1,1,1,1,1,-1,1,1,1,1
67,248,275,15.jpg,28.jpg,1,1,1,1,1,1,1,1,-1,1,1,1,1
68,263,278,34.jpg,24.jpg,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1
69,255,277,1.jpg,7.jpg,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1
70,255,275,1.jpg,28.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
71,267,273,13.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
72,270,278,33.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,260,253,26.jpg,10.jpg,1,1,1,1,-1,1,-1,1,1,1,1,1,1
74,279,271,17.jpg,14.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
75,254,265,11.jpg,5.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
76,265,267,5.jpg,13.jpg,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1
77,261,279,3.jpg,17.jpg,1,1,1,1,-1,1,1,1,-1,1,1,1,-1
78,249,250,27.jpg,8.jpg,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1
79,265,266,5.jpg,25.jpg,1,1,1,,-1,1,1,1,-1,1,1,1,-1
80,254,260,11.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
81,258,270,35.jpg,33.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
82,249,272,27.jpg,2.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
83,265,272,5.jpg,2.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
84,252,266,16.jpg,25.jpg,1,1,1,1,1,1,1,1,1,1,1,1,-1
85,253,256,10.jpg,32.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,258,267,35.jpg,13.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
87,248,277,15.jpg,7.jpg,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1
88,246,265,21.jpg,5.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
89,266,272,25.jpg,2.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
90,270,272,33.jpg,2.jpg,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1
91,264,268,20.jpg,22.jpg,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1
92,265,275,5.jpg,28.jpg,1,-1,1,,1,1,-1,1,-1,1,1,1,1
93,254,267,11.jpg,13.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
94,256,275,32.jpg,28.jpg,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1
95,259,272,4.jpg,2.jpg,1,-1,1,,-1,1,1,1,1,1,1,-1,-1
96,249,260,27.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
97,278,265,24.jpg,5.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
98,261,259,3.jpg,4.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
99,248,272,15.jpg,2.jpg,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
100,252,246,16.jpg,21.jpg,-1,1,1,,1,-1,1,-1,-1,-1,-1,1,1
101,262,269,18.jpg,30.jpg,1,1,-1,1,-1,1,-1,1,1,1,1,1,1
102,261,262,3.jpg,18.jpg,1,1,1,,1,1,1,1,-1,1,1,1,1
103,247,268,9.jpg,22.jpg,1,1,1,1,-1,1,1,-1,1,1,1,1,-1
104,246,278,21.jpg,24.jpg,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1
105,246,262,21.jpg,18.jpg,1,-1,1,1,-1,1,1,1,1,1,1,1,1
106,252,274,16.jpg,29.jpg,1,-1,-1,,-1,1,-1,1,1,-1,1,1,-1
107,263,270,34.jpg,33.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
108,250,270,8.jpg,33.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
109,261,260,3.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
110,268,276,22.jpg,23.jpg,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,1
111,251,261,31.jpg,3.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1
112,251,262,31.jpg,18.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
113,271,273,14.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
114,253,258,10.jpg,35.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,272,270,2.jpg,33.jpg,1,-1,1,,1,1,1,1,1,1,-1,1,1
116,255,270,1.jpg,33.jpg,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1
117,247,251,9.jpg,31.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
118,266,276,25.jpg,23.jpg,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
119,272,267,2.jpg,13.jpg,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1
120,255,266,1.jpg,25.jpg,1,1,1,1,-1,1,-1,1,1,1,1,1,-1
121,252,256,16.jpg,32.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
122,259,263,4.jpg,34.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
123,264,277,20.jpg,7.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
124,266,270,25.jpg,33.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
125,248,273,15.jpg,6.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
126,253,267,10.jpg,13.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
127,259,265,4.jpg,5.jpg,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1
128,255,265,1.jpg,5.jpg,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
129,249,257,27.jpg,19.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
130,251,274,31.jpg,29.jpg,1,1,1,-1,1,1,1,-1,1,1,1,1,1
131,251,260,31.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
132,267,268,13.jpg,22.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
133,259,273,4.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,263,277,34.jpg,7.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
135,269,266,30.jpg,25.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
136,253,246,10.jpg,21.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,250,272,8.jpg,2.jpg,1,1,1,1,-1,1,-1,1,1,1,1,1,1
138,251,250,31.jpg,8.jpg,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
139,249,266,27.jpg,25.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
140,269,272,30.jpg,2.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
141,246,255,21.jpg,1.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
142,256,261,32.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,249,261,27.jpg,3.jpg,1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1
144,249,279,27.jpg,17.jpg,1,1,-1,1,-1,1,1,1,1,1,1,1,-1
145,278,262,24.jpg,18.jpg,1,-1,1,1,1,1,1,-1,1,1,1,1,1
146,267,279,13.jpg,17.jpg,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1
147,277,268,7.jpg,22.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
148,247,264,9.jpg,20.jpg,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1
149,253,257,10.jpg,19.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,257,260,19.jpg,26.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
151,271,274,14.jpg,29.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
152,246,277,21.jpg,7.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
153,248,251,15.jpg,31.jpg,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,256,278,32.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,252,268,16.jpg,22.jpg,-1,1,1,1,1,1,1,1,1,1,1,1,-1
156,248,250,15.jpg,8.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,257,251,19.jpg,31.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,248,261,15.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,250,252,8.jpg,16.jpg,1,-1,1,1,-1,1,1,1,1,1,1,1,-1
160,254,258,11.jpg,35.jpg,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1
161,247,275,9.jpg,28.jpg,-1,1,1,1,1,-1,1,-1,1,1,1,1,1
162,260,276,26.jpg,23.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,250,261,8.jpg,3.jpg,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1
164,257,266,19.jpg,25.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
165,254,272,11.jpg,2.jpg,1,1,1,1,-1,1,-1,1,1,1,1,1,1
166,267,270,13.jpg,33.jpg,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
167,253,271,10.jpg,14.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,262,276,18.jpg,23.jpg,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
169,247,255,9.jpg,1.jpg,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1
170,264,279,20.jpg,17.jpg,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1
171,263,261,34.jpg,3.jpg,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1
172,266,273,25.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,255,263,1.jpg,34.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,274,278,29.jpg,24.jpg,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1
175,259,269,4.jpg,30.jpg,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1
176,256,277,32.jpg,7.jpg,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
177,248,274,15.jpg,29.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
178,255,276,1.jpg,23.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,258,272,35.jpg,2.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,-1
180,247,259,9.jpg,4.jpg,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1
181,254,268,11.jpg,22.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
182,265,276,5.jpg,23.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
183,253,254,10.jpg,11.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,246,248,21.jpg,15.jpg,1,-1,1,1,-1,1,1,1,1,1,1,1,1
185,247,276,9.jpg,23.jpg,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
186,255,257,1.jpg,19.jpg,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
187,264,275,20.jpg,28.jpg,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1
188,258,261,35.jpg,3.jpg,1,1,1,1,-1,1,1,1,1,1,-1,1,-1
189,274,272,29.jpg,2.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
190,260,264,26.jpg,20.jpg,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1
191,250,273,8.jpg,6.jpg,1,-1,1,1,1,1,-1,1,1,1,1,1,-1
192,252,276,16.jpg,23.jpg,-1,1,1,1,1,1,1,-1,1,1,1,1,1
193,246,263,21.jpg,34.jpg,-1,-1,1,-1,1,1,1,1,1,1,1,1,1
194,267,272,13.jpg,2.jpg,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1
195,258,260,35.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
196,271,278,14.jpg,24.jpg,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,253,251,10.jpg,31.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
198,246,258,21.jpg,35.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1
199,256,257,32.jpg,19.jpg,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
200,260,265,26.jpg,5.jpg,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1
201,253,279,10.jpg,17.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,273,276,6.jpg,23.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
203,246,247,21.jpg,9.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,1
204,254,257,11.jpg,19.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
205,265,278,5.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
206,247,261,9.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
207,257,268,19.jpg,22.jpg,1,1,1,1,1,1,1,1,1,1,1,1,-1
208,264,271,20.jpg,14.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,277,258,7.jpg,35.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,250,262,8.jpg,18.jpg,1,1,1,1,1,1,1,1,-1,1,1,1,1
211,264,265,20.jpg,5.jpg,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
212,265,268,5.jpg,22.jpg,1,1,1,1,1,1,1,1,1,1,1,1,-1
213,251,256,31.jpg,32.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
214,270,271,33.jpg,14.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
215,277,279,7.jpg,17.jpg,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1
216,257,278,19.jpg,24.jpg,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1
217,265,277,5.jpg,7.jpg,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1
218,246,254,21.jpg,11.jpg,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1
219,254,274,11.jpg,29.jpg,1,-1,-1,1,-1,1,1,1,1,1,1,1,1
220,259,278,4.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,253,272,10.jpg,2.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,251,272,31.jpg,2.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
223,261,268,3.jpg,22.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
224,256,250,32.jpg,8.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,254,269,11.jpg,30.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
226,266,278,25.jpg,24.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
227,249,259,27.jpg,4.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
228,247,262,9.jpg,18.jpg,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,250,264,8.jpg,20.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
230,255,278,1.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
231,246,276,21.jpg,23.jpg,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
232,261,265,3.jpg,5.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
233,271,275,14.jpg,28.jpg,1,1,1,1,-1,1,1,1,-1,1,1,1,1
234,254,256,11.jpg,32.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
235,277,278,7.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,268,275,22.jpg,28.jpg,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1
237,265,269,5.jpg,30.jpg,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1
238,274,279,29.jpg,17.jpg,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1
239,266,250,25.jpg,8.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
240,246,273,21.jpg,6.jpg,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1
241,255,261,1.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
242,274,262,29.jpg,18.jpg,1,1,1,1,1,1,1,-1,-1,1,-1,1,1
243,272,265,2.jpg,5.jpg,1,1,-1,1,1,1,1,1,1,1,1,-1,1
244,246,253,21.jpg,10.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
245,270,273,33.jpg,6.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,270,274,33.jpg,29.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,260,262,26.jpg,18.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,256,262,32.jpg,18.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,256,254,32.jpg,11.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,276,278,23.jpg,24.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
251,249,264,27.jpg,20.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
252,256,251,32.jpg,31.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
253,253,247,10.jpg,9.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,246,279,21.jpg,17.jpg,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
255,248,265,15.jpg,5.jpg,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1
256,252,267,16.jpg,13.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
257,253,268,10.jpg,22.jpg,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
258,247,274,9.jpg,29.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259,260,269,26.jpg,30.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
260,265,278,5.jpg,24.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,261,269,3.jpg,30.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
262,253,265,10.jpg,5.jpg,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
263,250,267,8.jpg,13.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
264,257,275,19.jpg,28.jpg,-1,-1,1,1,1,1,1,-1,1,1,1,1,1
265,246,260,21.jpg,26.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
266,250,275,8.jpg,28.jpg,1,1,1,1,-1,1,1,1,1,1,1,1,1
267,248,265,15.jpg,5.jpg,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1
268,260,261,26.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,255,264,1.jpg,20.jpg,-1,1,-1,1,1,1,1,1,1,1,1,1,1
270,265,271,5.jpg,14.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1
271,252,265,16.jpg,5.jpg,1,1,-1,1,1,1,1,1,1,1,1,1,1
272,248,256,15.jpg,32.jpg,1,1,-1,-1,1,1,-1,1,1,1,1,1,1
273,258,265,35.jpg,5.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
274,262,275,18.jpg,28.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
275,252,275,16.jpg,28.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
276,250,277,8.jpg,7.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1
277,257,261,19.jpg,3.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
